Year,log_RGDP,FOR1,RES1,STD1,LCI1,UCI1,log_RPCE,FOR2,RES2,STD2,LCI2,UCI2,log_GPDI,FOR3,RES3,STD3,LCI3,UCI3,log_RFGCE,FOR4,RES4,STD4,LCI4,UCI4
01OCT1977,12.779466616,12.780338657,-0.000872041,0.0030100241,12.774439118,12.786238196,12.581130106,12.578627571,0.0025025343,0.002573468,12.573583667,12.583671476,11.625621081,11.621629344,0.0039917376,0.0138928944,11.594399771,11.648858917,12.179580513,12.179848774,-0.000268261,0.0034819476,12.173024282,12.186673266
01JAN1978,12.780979412,12.78405552,-0.003076107,0.0030100241,12.778155981,12.789955059,12.583629453,12.585118038,-0.001488585,0.002573468,12.580074133,12.590161942,11.638289535,11.644869628,-0.006580093,0.0138928944,11.617640055,11.672099201,12.180097189,12.182677762,-0.002580573,0.0034819476,12.17585327,12.189502254
01APR1978,12.797544514,12.784535386,0.0130091285,0.0030100241,12.778635847,12.790434925,12.59279832,12.586479394,0.0063189257,0.002573468,12.58143549,12.591523299,11.672651923,11.641373488,0.0312784351,0.0138928944,11.614143915,11.66860306,12.19147896,12.184264244,0.0072147169,0.0034819476,12.177439752,12.191088735
01JUL1978,12.801767185,12.800974577,0.0007926082,0.0030100241,12.795075038,12.806874116,12.594613509,12.598293959,-0.00368045,0.002573468,12.593250055,12.603337864,11.692318044,11.681924927,0.0103931172,0.0138928944,11.654695354,11.7091545,12.194902674,12.192748398,0.0021542767,0.0034819476,12.185923906,12.19957289
01OCT1978,12.807555322,12.803824336,0.0037309853,0.0030100241,12.797924798,12.809723875,12.598078863,12.599001143,-0.00092228,0.002573468,12.593957238,12.604045047,11.712481338,11.698683337,0.0137980012,0.0138928944,11.671453764,11.725912909,12.198821978,12.194136364,0.0046856137,0.0034819476,12.187311872,12.200960856
01JAN1979,12.808413551,12.808138731,0.0002748208,0.0030100241,12.802239192,12.814038269,12.600275724,12.600540701,-0.000264978,0.002573468,12.595496797,12.605584606,11.720820582,11.706918048,0.013902534,0.0138928944,11.679688475,11.734147621,12.195041281,12.200167046,-0.005125765,0.0034819476,12.193342554,12.206991538
01APR1979,12.808939814,12.811390273,-0.002450459,0.0030100241,12.805490734,12.817289811,12.600024904,12.601533899,-0.001508995,0.002573468,12.596489994,12.606577803,11.73183042,11.730003977,0.0018264428,0.0138928944,11.702774405,11.75723355,12.199480915,12.200761688,-0.001280774,0.0034819476,12.193937197,12.20758618
01JUL1979,12.812050593,12.809117575,0.0029330178,0.0030100241,12.803218036,12.815017114,12.604269264,12.602624914,0.0016443504,0.002573468,12.597581009,12.607668818,11.736874362,11.721692869,0.0151814929,0.0138928944,11.694463296,11.748922441,12.200056666,12.20231132,-0.002254654,0.0034819476,12.195486828,12.209135812
01OCT1979,12.813173855,12.814352854,-0.001178998,0.0030100241,12.808453315,12.820252392,12.605434345,12.606567175,-0.001132829,0.002573468,12.60152327,12.611611079,11.7387013,11.745125934,-0.006424633,0.0138928944,11.717896361,11.772355507,12.202869588,12.201683692,0.0011858959,0.0034819476,12.1948592,12.208508184
01JAN1980,12.81457386,12.814282766,0.0002910937,0.0030100241,12.808383228,12.820182305,12.604765885,12.60830048,-0.003534595,0.002573468,12.603256575,12.613344384,11.743979865,11.73861896,0.0053609056,0.0138928944,11.711389387,11.765848532,12.209568628,12.203502975,0.0060656529,0.0034819476,12.196678483,12.210327467
01APR1980,12.80567753,12.81388297,-0.00820544,0.0030100241,12.807983431,12.819782509,12.59488955,12.607419105,-0.012529556,0.002573468,12.602375201,12.61246301,11.715418323,11.72794517,-0.012526848,0.0138928944,11.700715598,11.755174743,12.211093831,12.211555088,-0.000461257,0.0034819476,12.204730596,12.21837958
01JUL1980,12.80501804,12.800415135,0.0046029058,0.0030100241,12.794515596,12.806314673,12.599544671,12.593617506,0.0059271643,0.002573468,12.588573602,12.598661411,11.694692926,11.679280714,0.0154122124,0.0138928944,11.652051141,11.706510287,12.204635401,12.211724931,-0.00708953,0.0034819476,12.20490044,12.218549423
01OCT1980,12.812993527,12.804840296,0.008153231,0.0030100241,12.798940757,12.810739835,12.605261938,12.600355656,0.0049062821,0.002573468,12.595311751,12.60539956,11.741545517,11.698529992,0.0430155251,0.0138928944,11.671300419,11.725759564,12.204608289,12.206295859,-0.00168757,0.0034819476,12.199471367,12.213120351
01JAN1981,12.821886743,12.817453447,0.0044332968,0.0030100241,12.811553908,12.823352985,12.607540801,12.607095901,0.0004449008,0.002573468,12.602051996,12.612139805,11.791971201,11.769049681,0.0229215198,0.0138928944,11.741820109,11.796279254,12.210264999,12.20905414,0.0012108593,0.0034819476,12.202229648,12.215878632
01APR1981,12.818707443,12.824152563,-0.005445121,0.0030100241,12.818253025,12.830052102,12.607465746,12.611279011,-0.003813265,0.002573468,12.606235107,12.616322916,11.78518742,11.796230214,-0.011042794,0.0138928944,11.769000642,11.823459787,12.211627723,12.207878789,0.0037489337,0.0034819476,12.201054298,12.214703281
01JUL1981,12.823663295,12.819797544,0.0038657508,0.0030100241,12.813898006,12.825697083,12.609210097,12.610779218,-0.001569122,0.002573468,12.605735314,12.615823123,11.814447379,11.786712232,0.0277351468,0.0138928944,11.759482659,11.813941804,12.209943736,12.208943486,0.00100025,0.0034819476,12.202118994,12.215767978
01OCT1981,12.818562374,12.822530018,-0.003967643,0.0030100241,12.816630479,12.828429557,12.605940397,12.611070446,-0.005130049,0.002573468,12.606026542,12.616114351,11.808481057,11.808463206,0.0000178504,0.0138928944,11.781233633,11.835692779,12.214817366,12.212385082,0.0024322843,0.0034819476,12.20556059,12.219209573
01JAN1982,12.811239773,12.816783715,-0.005543943,0.0030100241,12.810884176,12.822683254,12.608804064,12.607476662,0.0013274019,0.002573468,12.602432758,12.612520567,11.769598848,11.789806096,-0.020207248,0.0138928944,11.762576524,11.817035669,12.214366922,12.218652875,-0.004285954,0.0034819476,12.211828383,12.225477367
01APR1982,12.813594331,12.813001174,0.000593157,0.0030100241,12.807101635,12.818900713,12.610404621,12.611626589,-0.001221968,0.002573468,12.606582684,12.616670494,11.773493892,11.770064686,0.0034292061,0.0138928944,11.742835113,11.797294259,12.217194318,12.215618107,0.0015762106,0.0034819476,12.208793615,12.222442599
01JUL1982,12.812030508,12.81487097,-0.002840462,0.0030100241,12.808971431,12.820770509,12.61374671,12.61298227,0.0007644402,0.002573468,12.607938366,12.618026175,11.773054693,11.771201489,0.0018532046,0.0138928944,11.743971916,11.798431062,12.219924913,12.221509286,-0.001584373,0.0034819476,12.214684795,12.228333778
01OCT1982,12.812452091,12.815506732,-0.003054641,0.0030100241,12.809607193,12.821406271,12.621602056,12.619764476,0.0018375794,0.002573468,12.614720572,12.624808381,11.739730529,11.777401513,-0.037670984,0.0138928944,11.75017194,11.804631086,12.22680605,12.222580549,0.0042255001,0.0034819476,12.215756058,12.229405041
01JAN1983,12.818107073,12.818351748,-0.000244675,0.0030100241,12.81245221,12.824251287,12.625806154,12.6265857,-0.000779546,0.002573468,12.621541796,12.631629605,11.752432609,11.756479464,-0.004046855,0.0138928944,11.729249891,11.783709037,12.230934038,12.227649032,0.0032850064,0.0034819476,12.22082454,12.234473524
01APR1983,12.827905347,12.823001207,0.0049041405,0.0030100241,12.817101668,12.828900746,12.634316017,12.631937803,0.0023782138,0.002573468,12.626893899,12.636981708,11.788026884,11.758548335,0.0294785495,0.0138928944,11.731318762,11.785777907,12.23530114,12.235504054,-0.000202914,0.0034819476,12.228679562,12.242328546
01JUL1983,12.836324116,12.833554211,0.0027699043,0.0030100241,12.827654673,12.83945375,12.641870545,12.640951324,0.000919221,0.002573468,12.63590742,12.645995229,11.814447379,11.806503644,0.0079437348,0.0138928944,11.779274071,11.833733216,12.242367477,12.237828315,0.0045391616,0.0034819476,12.231003823,12.244652807
01OCT1983,12.845191093,12.843045458,0.0021456352,0.0030100241,12.837145919,12.848944997,12.648662448,12.647111917,0.0015505312,0.002573468,12.642068012,12.652155821,11.856426772,11.839192242,0.0172345308,0.0138928944,11.811962669,11.866421814,12.235023159,12.244924783,-0.009901623,0.0034819476,12.238100291,12.251749274
01JAN1984,12.853734706,12.850454928,0.0032797775,0.0030100241,12.844555389,12.856354467,12.652333385,12.654207739,-0.001874354,0.002573468,12.649163835,12.659251644,11.898121576,11.875745843,0.0223757327,0.0138928944,11.84851627,11.902975416,12.24007476,12.236740924,0.0033338354,0.0034819476,12.229916432,12.243565416
01APR1984,12.861295394,12.856206239,0.0050891545,0.0030100241,12.8503067,12.862105778,12.658478847,12.657265136,0.0012137105,0.002573468,12.652221232,12.662309041,11.913230871,11.900469632,0.0127612392,0.0138928944,11.873240059,11.927699205,12.249711867,12.242671537,0.0070403296,0.0034819476,12.235847045,12.249496029
